"Year","Heatwave","Spr_SST","Sum_SBT","Spr_ChlA_Biomass","Spr_ChlA_Peak","Spr_SCopepod_Shelikof","Sum_LCopepod_Shelikof","Sum_Euph_Kodiak","Aucklet_ReproSuccess","Spr_Larvae_Shelikof","Sum_OffYOY_Shelikof","Sum_NearYOY_Kodiak","Annual_Pollock_RelBiomass_Aiktak","Sum_Pollock_MTconsumed_Age1_GOA_Model","Sum_Juv_EuphDiet","Fal_Adult_Cond_Fishery","Win_Adult_Cond_Survey","Sum_Pollock_Center_Gravity_Northeast_WCGOA_Model","Sum_Pollock_Area_Occupied_WCGOA_Model","Arrowtooth_Biomass","POP_Biomass","Sablefish_Biomass","AdultSeaLion","Wind_NS","Sum_OffYOY_Cond_Shelikof"
1998,150.8487,5.48,NA,1.92,141,2.794,NA,NA,0.3,66.314,NA,NA,35.6,NA,NA,-0.049728155,0.018962256,NA,NA,1700040,398042,266729,14265.37785,NA,NA
1999,0,3.84,5.055555556,2.83,141,2.704,NA,NA,NA,74.563,NA,NA,5,0.50433211,0.639532043,-0.001276778,NA,-298.7506695,9.608140904,1736690,412325,285012,13823.79231,NA,NA
2000,0,4.9,NA,5.64,125,3.177,1.57,NA,NA,385.932,0.098,NA,36.9,NA,NA,0.012469521,0.049268632,NA,NA,1800450,430411,287925,13579.60833,NA,0.0161598377307273
2001,46.9135,4.99,5.858704453,2.7,141,2.921,1.733,NA,NA,140.652,0.065,NA,10.9,0.7977071,0.388991405,0.021340614,NA,-10.06334593,9.930224729,1846490,450651,288066,13526.18605,NA,0.0279675018673557
2002,51.2736,4.57,NA,4.57,133,2.691,NA,NA,0,130.232,NA,NA,NA,NA,NA,-0.05134283,-0.005833061,NA,NA,1889030,475483,317733,13641.08848,NA,NA
2003,207.8493,5.73,6.067054715,3.47,133,3.207,1.676,200382.7413,NA,94.74,0.061,NA,NA,0.65575657,0.531213807,-0.001772447,-0.011724078,-209.0260094,10.2412245,1916920,499692,320715,13921.82051,NA,0.0550677228890125
2004,117.6447,4.93,NA,3.67,141,2.862,NA,NA,NA,18.078,NA,NA,30.3,NA,NA,-0.034286005,0.021143649,NA,NA,1926290,526946,315594,14340.29362,-0.0703218560622363,NA
2005,284.6038,5.58,5.773063973,3.32,125,3.1,1.612,569076.5121,0.33,61.937,0.552,NA,11.6,0.35160557,0.246033791,0.117257718,0.030077765,-102.5526254,9.456977687,1943540,549891,308087,14872.89934,-1.14396379311374,-0.0622867295270123
2006,35.1361,4.67,NA,3.74,149,2.961,NA,NA,0.74,348.638,NA,6.02,67.3,NA,NA,0.005007105,0.056308268,NA,NA,1945340,571056,294920,15472.00105,-0.465293720567917,NA
2007,0,3.81,4.855111633,3.41,141,2.696,1.399,NA,0.25,148.062,0.193,0.05,4.3,0.37979268,0.078094949,0.134783848,0.030170107,-150.1272924,10.41171757,1919540,585522,283369,16108.62562,NA,0.025475691839784
2008,0,3.83,NA,2.54,149,2.92,NA,NA,NA,160.562,NA,2.84,2.9,NA,NA,0.082674265,0.077733103,NA,NA,1882570,601542,270078,16799.31582,NA,NA
2009,0,4.14,4.914614499,5.28,133,2.867,1.296,NA,0.23,124.46,0.068,0.32,6.7,0.29028252,0.595363618,0.031909481,0.03263321,-130.5819985,10.46360051,1823200,616994,263746,17552.15161,-0.393262929918794,0.019341937757608
2010,6.522,4.78,NA,2.62,133,3.26,NA,NA,0.58,369.3,NA,0.41,25,NA,NA,0.040036894,0.017235854,NA,NA,1755930,635279,267992,18371.77779,-0.606592492912403,NA
2011,0,4.51,5.40989957,3.55,133,2.748,NA,620474.2599,0.15,144.131,0.073,1.9,17.8,0.35368786,0.227679458,-0.034395351,NA,-128.1472289,10.41268499,1687840,648115,262223,19211.06115,-0.237552414025481,NA
2012,0,4.04,NA,2.37,149,NA,NA,NA,0.41,NA,NA,24.69,86.9,NA,NA,0.124043956,-0.00199128,NA,NA,1618680,663328,257738,20113.0395,-1.96753985682096,NA
2013,0,4.28,5.323011844,3,125,3.288,0.965,460745.7191,0.33,1624.512,0.332,1.77,31.2,0.73021786,0.333305389,0.001094024,0.024388535,-64.16030961,10.15532989,1566580,673299,243327,20952.40596,-2.38656202285613,-0.000190657720651477
2014,283.015,5.68,NA,2.94,141,NA,NA,NA,0.44,NA,NA,1.71,26.8,NA,NA,0.02721272,-0.003817849,NA,NA,1513960,684207,230887,21716.17797,0.153681384031182,NA
2015,402.3217,5.72,6.169607843,2.01,149,3.337,1.302,436759.0015,0.29,12.253,0.001,0.07,46.4,0.40134413,0.395484334,-0.071219088,-0.017549809,-267.8063326,10.20569646,1446290,687619,228368,22253.08377,0.996448149982634,-0.0625744568921714
2016,630.866,6.58,NA,1.61,165,NA,NA,NA,0.74,NA,NA,1.03,62.2,NA,NA,-0.079346248,-0.094234646,NA,NA,1402090,688486,265337,22544.33194,-0.115901259890531,NA
2017,53.0334,5.13,5.77591623,1.56,109,3.289,1.132,203106.8254,0.46,495.341,0.266,55.56,23.4,0.4277663,0.228177486,-0.036711544,-0.094682483,-269.096081,9.678581869,1363850,681729,284294,22583.49221,-0.86065169203535,-0.0281741470997087
2018,128.4953,5.2,NA,1.71,93,NA,NA,NA,0.14,NA,NA,76.68,44.6,NA,NA,-0.014644496,-0.056072792,NA,NA,1336650,678616,377331,22393.1436,NA,NA
2019,496.7389,6.15,6.317565217,1.65,165,3.356,1.497,336170,0.43,62.411,0.02,0.06,25.91514489,0.2942492,0.699415869,-0.042250069,-0.030500425,-150.9647207,10.53255341,1314860,674551,470082,22077.14382,-0.773443890474606,-0.115674828368139
2020,157.3959,5.12,NA,2.69,125,NA,NA,NA,NA,NA,NA,24.34,NA,NA,NA,-0.011920336,-0.016227268,NA,NA,1294430,668793,531492,21769.80547,-1.40010111227486,NA
2021,29.1765,4.94,5.677280859,1.85,149,3.143,NA,NA,0.34,18.518,NA,32.91,NA,0.25138615,0.392216735,-0.037396166,0.001144616,-200.4008467,10.37434308,1267240,661766,636796,21638.0973,-1.60248166249691,NA
2022,76.9294,5.02,NA,2.85,141,NA,NA,NA,0.25,NA,NA,22.85,NA,NA,NA,-0.016873718,-0.046831649,NA,NA,NA,NA,664845,NA,-0.749373566879212,NA
2023,0,4.49,5.464079422,1.18,157,2.94,1.565,NA,0.369565217,16.381,0.023,2.05,NA,NA,0.42494639,NA,-0.022270961,-291.9145532,10.89741346,NA,NA,NA,NA,-1.28936177573147,-0.105680222503116
